flight.identification.id,flight.identification.row,flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.identification.codeshare,flight.status.live,flight.status.text,flight.status.icon,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.id,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.hex,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.owner.logo,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.code.iata,flight.airport.origin.code.icao,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.origin.name,flight.airport.origin.position.latitude,flight.airport.origin.position.longitude,flight.airport.origin.position.country.name,flight.airport.origin.position.country.code,flight.airport.origin.position.country.id,flight.airport.origin.position.region.city,flight.airport.origin.visible,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.real,flight.time.scheduled.departure,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.aircraft.images,flight.owner
,5433557940,X98652,4X8652,NVD8652,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-232,9H-SWI,136.0,Malta,MT,MLT,4D24D3,False,,True,True,True,Avion Express Malta,4X,MLH,,Avion Express,X9,NVD,Avion Express,NBE,DTNH,Africa/Tunis,3600,CET,Central European Time,False,,,,Enfidha Hammamet International Airport,36.091946,10.413889,Tunisia,TN,227,Enfidha,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699031400,1699043700,,,1699031880.0,,,,,
,5431356399,LO274,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,E90,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,LCY,EGLC,Europe/London,0,GMT,Greenwich Mean Time,False,,,,London City Airport,51.505268,0.055278,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699036200,1699046100,,,,,,,,
,5431301972,FR543,RR543,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,STN,EGSS,Europe/London,0,GMT,Greenwich Mean Time,False,1,,,London Stansted Airport,51.884998,0.235,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699037100,1699046700,,,1699037100.0,,,,,
,5431410840,SK742,EE742,SAS742,"['FI7520', 'LG1847']",False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACG,70.0,Estonia,EE,EST,5110CA,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,SAS,SK,SAS,SAS,CPH,EKCH,Europe/Copenhagen,3600,CET,Central European Time,False,3,,,Copenhagen Airport,55.616959,12.645637,Denmark,DK,61,Copenhagen,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699041900,1699047300,,,1699042500.0,,,,,
,5431350514,LH888,,,"['A31466', 'NH6121', 'SN7085']",False,Scheduled,,,False,scheduled,arrival,gray,,,,321,,,,,,,,,,,,,,,,,Lufthansa,LH,DLH,Lufthansa,FRA,EDDF,Europe/Berlin,3600,CET,Central European Time,False,1,,,Frankfurt Airport,50.037796,8.555783,Germany,DE,83,Frankfurt,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699040400,1699047900,,,,,,,,
,5431254266,BT349,,,['AF7980'],False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699046100,1699048740,,,,,,,,
,5431471115,W68046,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Wizz Air,W6,WZZ,Wizz Air,KUT,UGKO,Asia/Tbilisi,14400,+04,,False,,,,Kutaisi International Airport,42.169998,42.48,Georgia,GE,82,Kutaisi,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699034700,1699049400,,,,,,,,
,5431356783,LO773,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,E95,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699048500,1699052400,,,,,,,,
,5434418775,,,GJT9PV,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B738,Boeing 737-83N,LY-CIN,127.0,Lithuania,LT,LTU,503E99,False,,True,True,True,Getjet Airlines,GW,GJT,s3:GW_GJT.png,GetJet Airlines,GW,GJT,Getjet Airlines,SSH,HESH,Africa/Cairo,7200,EET,Eastern European Time,False,,,,Sharm el-Sheikh International Airport,27.97728,34.394951,Egypt,EG,66,Sharm el-Sheikh,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1699035900,1699052520,,,1699037100.0,,,,,
,5431471111,W68052,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Wizz Air,W6,WZZ,Wizz Air,MXP,LIMC,Europe/Rome,3600,CET,Central European Time,False,1,,,Milan Malpensa Airport,45.6306,8.728111,Italy,IT,109,Milan,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699045200,1699054800,,,,,,,,
,5431537155,XC751,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,738,,,,,,,,,,,,,,,,,Corendon Airlines,XC,CAI,Corendon Airlines,AYT,LTAI,Europe/Istanbul,10800,+03,,False,2,,,Antalya Airport,36.898731,30.800461,Turkey,TR,228,Antalya,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1699044600,1699055700,,,,,,,,
,5431529529,U58932,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,738,,,,,,,,,,,,,,,,,SkyUp Europe,U5,SEU,SkyUp Europe,HRG,HEGN,Africa/Cairo,7200,EET,Eastern European Time,False,,,,Hurghada International Airport,27.17831,33.799431,Egypt,EG,66,Hurghada,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1699039200,1699057800,,,,,,,,
,5433247869,TK6577,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,33X,,,,,,,,,,,,,,,,,Turkish Airlines,TK,THY,Turkish Airlines,IST,LTFM,Europe/Istanbul,10800,+03,,False,,,,Istanbul Airport,41.267052,28.729757,Turkey,TR,228,Istanbul,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1699062300,1699076100,,,,,,,,
