flight.status.generic.status.type,flight.identification.number.default,flight.identification.callsign,flight.aircraft.model.text,flight.aircraft.country.name,flight.airline.short,flight.airport.origin.position.region.city,final_time,flight.airport.destination.position.region.city
arrival,W68052,,,,Wizz Air,Milan,2023-11-11 12:10:00,
departure,FR1831,,,,Ryanair,,2023-11-11 12:30:00,Venice
arrival,W68002,,,,Wizz Air,London,2023-11-11 12:50:00,
arrival,W68082,,,,Wizz Air,Rome,2023-11-11 12:50:00,
arrival,AY1103,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-11 12:55:00,
arrival,,GJT9NV,Boeing 737-8FE,Lithuania,Getjet Airlines,Antalya,2023-11-11 13:22:00,
departure,AY1104,,ATR 72-500,Finland,Finnair,,2023-11-11 13:25:00,Helsinki
departure,W68083,,,,Wizz Air,,2023-11-11 13:30:00,Malaga
departure,W68031,,,,Wizz Air,,2023-11-11 13:35:00,Dortmund
departure,W68021,,,,Wizz Air,,2023-11-11 13:35:00,Paris
arrival,BT962,,,,Air Baltic,Amsterdam,2023-11-11 13:35:00,
arrival,LX1340,,,,Swiss,Zurich,2023-11-11 13:40:00,
arrival,LO771,,,,LOT,Warsaw,2023-11-11 14:05:00,
arrival,LH886,,,,Lufthansa,Frankfurt,2023-11-11 14:15:00,
arrival,BT345,,,,Air Baltic,Riga,2023-11-11 14:40:00,
departure,LX1341,,,,Swiss,,2023-11-11 14:45:00,Zurich
departure,LO772,,,,LOT,,2023-11-11 14:45:00,Warsaw
arrival,SK1742,,,,SAS,Copenhagen,2023-11-11 14:50:00,
departure,LH887,,,,Lufthansa,,2023-11-11 15:10:00,Frankfurt
departure,BT346,,,,Air Baltic,,2023-11-11 15:20:00,Riga
departure,SK1743,,,,SAS,,2023-11-11 15:25:00,Copenhagen
arrival,LO779,,,,LOT,Warsaw,2023-11-11 16:15:00,
arrival,FR1804,,,,Ryanair,Tel Aviv,2023-11-11 16:35:00,
arrival,X98702,,,,Avion Express,Hurghada,2023-11-11 16:40:00,
departure,BT925,,,,Air Baltic,,2023-11-11 17:10:00,Munich
departure,FR7655,,,,Ryanair,,2023-11-11 17:35:00,Eindhoven
arrival,FR1830,,,,Ryanair,Venice,2023-11-11 17:40:00,
arrival,FR1826,,,,Ryanair,London,2023-11-11 18:00:00,
arrival,AY1105,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-11 18:15:00,
departure,FR1825,,,,Ryanair,,2023-11-11 18:25:00,London
arrival,LO775,,,,LOT,Warsaw,2023-11-11 18:30:00,
departure,AY1106,,ATR 72-500,Finland,Finnair,,2023-11-11 18:40:00,Helsinki
arrival,TK1409,,,,Turkish Airlines,Istanbul,2023-11-11 19:05:00,
departure,LO776,,,,LOT,,2023-11-11 19:10:00,Warsaw
arrival,W68022,,,,Wizz Air,Paris,2023-11-11 19:45:00,
departure,TK1410,,,,Turkish Airlines,,2023-11-11 20:00:00,Istanbul
arrival,BT347,,,,Air Baltic,Riga,2023-11-11 20:40:00,
arrival,AY1107,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-11 20:50:00,
departure,AY1108,,ATR 72-500,Finland,Finnair,,2023-11-11 21:15:00,Helsinki
departure,BT348,,,,Air Baltic,,2023-11-11 21:20:00,Riga
arrival,FR3466,,,,Ryanair,London,2023-11-11 21:20:00,
departure,FR3468,,,,Ryanair,,2023-11-11 21:45:00,London
arrival,BT926,,,,Air Baltic,Munich,2023-11-11 22:00:00,
arrival,FR7654,,,,Ryanair,Eindhoven,2023-11-11 22:35:00,
arrival,W68084,,,,Wizz Air,Malaga,2023-11-11 23:10:00,
arrival,W68032,,,,Wizz Air,Dortmund,2023-11-11 23:15:00,
arrival,SK742,,,,SAS,Copenhagen,2023-11-11 23:40:00,
arrival,LH888,,,,Lufthansa,Frankfurt,2023-11-11 23:45:00,
departure,BT997,,,,Air Baltic,,2023-11-11 23:55:00,Dubai
arrival,BT349,,,,Air Baltic,Riga,2023-11-11 23:59:00,
arrival,LO773,,,,LOT,Warsaw,2023-11-12 01:00:00,
