flight.identification.id,flight.identification.row,flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.identification.codeshare,flight.status.live,flight.status.text,flight.status.icon,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.id,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.hex,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.owner.logo,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.code.iata,flight.airport.origin.code.icao,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.origin.name,flight.airport.origin.position.latitude,flight.airport.origin.position.longitude,flight.airport.origin.position.country.name,flight.airport.origin.position.country.code,flight.airport.origin.position.country.id,flight.airport.origin.position.region.city,flight.airport.origin.visible,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.real,flight.time.scheduled.departure,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.aircraft.images,flight.owner,flight.airline,final_time
,5444343539,SK742,EE742,SAS742,"['FI7520', 'LG1847']",False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACP,70.0,Estonia,EE,EST,511111,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,Xfly,EE,EST,Xfly,CPH,EKCH,Europe/Copenhagen,3600,CET,Central European Time,False,3,,B4,Copenhagen Airport,55.616959,12.645637,Denmark,DK,61,Copenhagen,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701979500,1701984900,,,1701979500.0,,,,,,,2023-12-07 23:35:00
,5444323970,LH888,,DLH888,"['A31466', 'NH6121', 'SN7085', 'EY4166']",False,Scheduled,,,False,scheduled,arrival,gray,,,,A321,Airbus A321-131,D-AIRU,83.0,Germany,DE,DEU,3C6655,False,,True,True,True,Lufthansa,LH,DLH,s3:LH_DLH.png,Lufthansa,LH,DLH,Lufthansa,FRA,EDDF,Europe/Berlin,3600,CET,Central European Time,False,1,,A66,Frankfurt Airport,50.037796,8.555783,Germany,DE,83,Frankfurt,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1701978000,1701985500,,,1701978900.0,,,,,,,2023-12-07 23:45:00
,5444054709,FR1786,RR1786,RYR76UQ,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B738,Boeing 737-8AS,SP-RKC,176.0,Poland,PL,POL,48C122,False,,True,True,True,Buzz,RR,RYS,s3:RR_RYS.png,Ryanair,FR,RYR,Ryanair,BCN,LEBL,Europe/Madrid,3600,CET,Central European Time,False,2,,B66,Barcelona El Prat Airport,41.29707,2.078463,Spain,ES,209,Barcelona,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701973500,1701986100,,,1701974400.0,,,,,,,2023-12-07 23:55:00
,5444286862,BT349,,BTI3LR,"['AF7980', 'TP6408']",False,Scheduled,,,False,scheduled,arrival,gray,,,,BCS3,Airbus A220-300,YL-ABN,121.0,Latvia,LV,LVA,502D5F,False,,True,True,True,Air Baltic,BT,BTI,s3:BT_BTI.png,Air Baltic (Latvian Flag Livery),BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701983700,1701986340,,,1701984180.0,,,,,,,2023-12-07 23:59:00
,5444102810,LO773,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1701986100,1701990000,,,,,,,,,,2023-12-08 01:00:00
,5447932275,,,WZZ411,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A321,,,,,,,,,,,,,,,,,,,,,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1701987600,1701991380,,,1701988800.0,,,,,,,2023-12-08 01:23:00
,5447936481,,,BCS18D,,False,Scheduled,,,False,scheduled,arrival,gray,,,,B738,Boeing 737-8F2(BCF),TF-BBQ,101.0,Iceland,IS,ISL,4CC54E,False,,True,True,True,Bluebird Nordic,BO,BBD,s3:BO_BBD.png,Bluebird Nordic,BO,BBD,Bluebird Nordic,LEJ,EDDP,Europe/Berlin,3600,CET,Central European Time,False,,,,Leipzig Halle Airport,51.432442,12.24163,Germany,DE,83,Leipzig,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1702007400,1702013940,,,1702008900.0,,,,,,,2023-12-08 07:39:00
,5444460502,BT341,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702013100,1702016100,,,,,,,,,,2023-12-08 08:15:00
,5444503699,FR198,LW198,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,VIE,LOWW,Europe/Vienna,3600,CET,Central European Time,False,1,,,Vienna International Airport,48.110271,16.569719,Austria,AT,15,Vienna,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702011300,1702018200,,,1702011300.0,,,,,,,2023-12-08 08:50:00
,5444820722,AY1101,N71101,,['JL9347'],False,Scheduled,,,False,scheduled,arrival,gray,,,,AT75,ATR 72-500,OH-ATH,75.0,Finland,FI,FIN,4601F5,False,,True,True,True,NORRA,N7,FCM,s3:FC_FCM.png,Finnair,AY,FIN,Finnair,HEL,EFHK,Europe/Helsinki,7200,EET,Eastern European Time,False,2,,211,Helsinki Vantaa Airport,60.325657,24.968779,Finland,FI,75,Helsinki,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702014000,1702020000,,,1702014000.0,,,,,,,2023-12-08 09:20:00
,5444554395,LO777,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,E70,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702016100,1702020300,,,,,,,,,,2023-12-08 09:25:00
,5444621702,SK744,EE744,SAS744,['SQ2612'],False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACJ,70.0,Estonia,EE,EST,5110E1,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,SAS,SK,SAS,SAS,CPH,EKCH,Europe/Copenhagen,3600,CET,Central European Time,False,3,,,Copenhagen Airport,55.616959,12.645637,Denmark,DK,61,Copenhagen,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702019100,1702024500,,,1702019700.0,,,,,,,2023-12-08 10:35:00
,5444635526,TK1407,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73J,,,,,,,,,,,,,,,,,Turkish Airlines,TK,THY,Turkish Airlines,IST,LTFM,Europe/Istanbul,10800,+03,,False,,,,Istanbul Airport,41.267052,28.729757,Turkey,TR,228,Istanbul,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1702015500,1702026300,,,1702015500.0,,,,,,,2023-12-08 11:05:00
,5444504422,FR1834,RR1834,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,BRE,EDDW,Europe/Berlin,3600,CET,Central European Time,False,2,,B04,Bremen Airport,53.047501,8.786667,Germany,DE,83,Bremen,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702020300,1702026900,,,1702020300.0,,,,,,,2023-12-08 11:15:00
,5444579812,OS635,,,['BT5131'],False,Scheduled,,,False,scheduled,arrival,gray,,,,E195,Embraer E195LR,OE-LWK,15.0,Austria,AT,AUT,440827,False,,True,True,True,Austrian Airlines,OS,AUA,s3:OS_AUA.png,Austrian Airlines,OS,AUA,Austrian Airlines,VIE,LOWW,Europe/Vienna,3600,CET,Central European Time,False,3,,,Vienna International Airport,48.110271,16.569719,Austria,AT,15,Vienna,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702026000,1702032300,,,,,,,,,,2023-12-08 12:45:00
,5444682392,W68002,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Wizz Air,W6,WZZ,Wizz Air,LTN,EGGW,Europe/London,0,GMT,Greenwich Mean Time,False,,,,London Luton Airport,51.874722,-0.36833,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1702022400,1702032600,,,,,,,,,,2023-12-08 12:50:00
,5444450946,AY1103,N71103,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,AT75,ATR 72-500,OH-ATN,75.0,Finland,FI,FIN,4601FB,False,,True,True,True,NORRA,N7,FCM,s3:FC_FCM.png,Finnair,AY,FIN,Finnair,HEL,EFHK,Europe/Helsinki,7200,EET,Eastern European Time,False,,,,Helsinki Vantaa Airport,60.325657,24.968779,Finland,FI,75,Helsinki,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702026900,1702032900,,,,,,,,,,2023-12-08 12:55:00
,5444506263,FR7203,RR7203,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,MLA,LMML,Europe/Malta,3600,CET,Central European Time,False,,,,Malta Luqa International Airport,35.857491,14.4775,Malta,MT,136,Malta,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1702021200,1702033500,,,1702021200.0,,,,,,,2023-12-08 13:05:00
,5444626838,SN2371,,,['BT5372'],False,Scheduled,,,False,scheduled,arrival,gray,,,,A319,Airbus A319-111,OO-SSB,22.0,Belgium,BE,BEL,44CE62,False,,True,True,True,Brussels Airlines,SN,BEL,s3:SN_BEL.png,Brussels Airlines,SN,BEL,Brussels Airlines,BRU,EBBR,Europe/Brussels,3600,CET,Central European Time,False,,,,Brussels Airport,50.901379,4.484444,Belgium,BE,22,Brussels,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702026000,1702034400,,,,,,,,,,2023-12-08 13:20:00
,5444460719,BT962,,,"['DL7310', 'KL2845']",False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,AMS,EHAM,Europe/Amsterdam,3600,CET,Central European Time,False,,,,Amsterdam Schiphol Airport,52.308609,4.763889,Netherlands,NL,155,Amsterdam,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1702027200,1702035300,,,,,,,,,,2023-12-08 13:35:00
